"FRESH AND EASY, SWEET HOT MUSTARD",FRESH & EASY,"DISTILLED VINEGAR, WATER, HONEY, MUSTARD FLOUR, MUSTARD SEED, SALT, SPICE"
STONEGROUND HORSERADISH MUSTARD,FRESH & EASY,"DISTILLED VINEGAR, WATER, MUSTARD SEED, SALT, HORSERADISH, SOYBEAN OIL, SPICES, MUSTARD OIL"
ORGANIC DIJON MUSTARD,FRESH & EASY,"ORGANIC DISTILLED VINEGAR, WATER, ORGANIC MUSTARD SEED, SALT, ORGANIC TURMERIC, ORGANIC SPICE"
DIJON MUSTARD,FRESH & EASY,"DISTILLED VINEGAR, WATER, MUSTARD SEED, SALT, WHITE WINE, CITRIC ACID, TURMERIC, SPICE"
SPICY BROWN MUSTARD,FRESH & EASY,"DISTILLED VINEGAR, WATER, MUSTARD SEED, SALT, TURMERIC, SPICE, NATURAL FLAVOR"
YELLOW MUSTARD,FRESH & EASY,"DISTILLED VINEGAR, WATER, MUSTARD SEED, SALT, TURMERIC, PAPRIKA, SPICE"
TOMATO KETCHUP,FRESH & EASY,"ORGANIC TOMATO CONCENTRATE (WATER / ORGANIC TOMATO PASTE), ORGANIC SUGAR, ORGANIC VINEGAR, SALT, ORGANIC ONION POWDER, ORGANIC SPICES"
LITE MAYONNAISE,FRESH & EASY,"WATER, SOYBEAN OIL, EGGS, DISTILLED VINEGAR, FOOD STARCH MODIFIED, SALT, CULTURED SUGAR, LEMON JUICE CONCENTRATE, DL-ALPHA-TOCOPHEROL ACETATE, NATURAL FLAVOR"
REAL MAYONNAISE MADE WITH CIDER VINEGAR,FRESH & EASY,"SOYBEAN OIL, EGGS, CIDER VINEGAR, WATER, SALT, SPICE, LEMON JUICE CONCENTRATE, NATURAL FLAVORS"
FINE ICE CREAMS,McConnell's Ice Cream Inc.,"CREAM, MILK, CANE SUGAR, NON FAT MILK SOLIDS, ORGANIC EGG YOLKS, GUITTARD COCOA, GUITTARD CHOCOLATE LIQUOR, ALMOND BRITTLE (ALMONDS / BUTTER / CANE SUGAR / SALT), R.R. LOCHHEAD VANILLA, ESPRESSO"
"STATER BROS., SUGAR POWDERED",Stater Bros. Markets Inc.,"SUGAR, CORNSTARCH"
"STATER BROS., PURE CANE SUGAR GRANULATED",Stater Bros. Markets Inc.,SUGAR
"STATER BROS., ROTINI AN ENRICHED MACARONI PRODUCT",Stater Bros. Markets Inc.,"SEMOLINA (WHEAT), DURUM FLOUR (WHEAT), NIACIN, FERROUS SULFATE (IRON), THIAMIN MONONITRATE, RIBOFLAVIN, FOLIC ACID"
"STATER BROS., KIDNEY BEANS, DARK RED",Stater Bros. Markets Inc.,"PREPARED DARK RED KIDNEY BEANS, WATER, SUGAR, SALT, CALCIUM CHLORIDE (FIRMING AGENT), DISODIUM EDTA"
NON-STICK OLIVE OIL COOKING SPRAY,"Meijer, Inc.","EXTRA VIRGIN OLIVE OIL, SOY LECITHIN, DIMETHYL SILICONE"
SLICED SMOKED TURKEY BREAST,Target Stores,"TURKEY BREAST, WATER, DEXTROSE, SODIUM LACTATE, SALT, SODIUM PHOSPHATE, SODIUM NITRITE, SODIUM ERYTHORBATE, SMOKE FLAVORING, SODIUM DIACETATE"
SLICED HONEY HAM WITH NATURAL JUICES,Target Stores,"PORK CURED WITH WATER, HONEY, SALT, SUGAR, BROWN SUGAR, SPICE EXTRACTIVES, SODIUM LACTATE, SODIUM PHOSPHATE, SODIUM NITRITE, SODIUM ERYTHORBATE, SODIUM DIACETATE"
SLICED BLACK FOREST HAM,Target Stores,"PORK, WATER, DEXTROSE, SODIUM LACTATE, SALT, SODIUM PHOSPHATE, SODIUM ERYTHORBATE, SODIUM NITRITE, SODIUM DIACETATE"
SLICED BLACK ANGUS ROAST BEEF,Target Stores,"BEEF, WATER, SODIUM LACTATE, SODIUM PHOSPHATE, SODIUM DIACETATE, DEXTROSE, SALT, HYDROLYZED CORN PROTEIN, ONION AND GARLIC POWDER, CANOLA OIL, NATURAL FLAVORS, DEXTROSE, SALT, CARAMEL COLOR, FLAVORINGS, HYDROLYZED CORN PROTEIN, SPICES"
MUENSTER CHEESE,Milton G. Waldbaum Company,"PASTEURIZED MILK, CHEESE CULTURE, SALT, ENZYMES, ANNATTO"
SWISS CHEESE,Milton G. Waldbaum Company,"PASTEURIZED PART-SKIM MILK, CHEESE CULTURE, SALT, ENZYMES, NATAMYCIN"
HONEY MUSTARD,"Columbus Manufacturing, Inc.","WATER, SUGAR, HONEY, WHEAT FLOUR, MUSTARD SEED, WHITE DISTILLED VINEGAR, SOYBEAN OIL, SALT, LEMON JUICE, XANTHAN GUM, EGGS, ONIONS, HIGH FRUCTOSE CORN SYRUP, CITRIC ACID, GARLIC, TURMERIC, SPICES, CALCIUM DISODIUM EDTA, NATURAL FLAVOR, ANNATTO"
SEASONED ROAST BEEF,"Columbus Manufacturing, Inc.","BEEF, WATER, SALT, POTASSIUM LACTATE, POTASSIUM ACETATE"
"GREAT MIDWEST, CRANBERRY CHEDDAR","DCI Cheese Company, Inc.","CHEDDAR CHEESE (PASTEURIZED MILK / CHEESE CULTURES / SALT / ENZYMES), CRANBERRIES, SUGAR, SUNFLOWER OIL, NATURAL FLAVOR"
"GREAT MIDWEST, CHIPOTLE CHEDDAR","DCI Cheese Company, Inc.","CHEDDAR CHEESE (PASTEURIZED MILK / CHEESE CULTURES / SALT / ENZYMES), CHIPOTLE PEPPERS"
TRADITIONAL HUMMUS,Target Stores,"CHICKPEAS, WATER, SESAME TAHINI, CANOLA OLIVE OIL BLEND, SALT, CITRIC ACID, NATURAL FLAVOR, GARLIC, SPICES, POTASSIUM SORBATE AND SODIUM BENZOATE"
SUN-DRIED TOMATO AND BASIL HUMMUS,Target Stores,"CHICKPEAS, WATER, CANOLA OLIVE OIL BLEND, SESAME TAHINI, SUNDRIED TOMATOES, LEMON JUICE CONCENTRATE, BASIL, GARLIC, SALT, SPICES, NATURAL FLAVOR, PAPRIKA EXTRACT (NATURAL FLAVORS / SOY LECITHIN), POTASSIUM SORBATE AND SODIUM BENZOATE"
SPINACH AND ARTICHOKE HUMMUS,Target Stores,"CHICKPEAS, ARTICHOKE HEARTS, SESAME TAHINI, SPINACH, WATER, CANOLA OLIVE OIL BLEND, ROASTED RED PEPPERS, SALT, CITRIC ACID, NATURAL FLAVOR, GARLIC, SPICES, POTASSIUM SORBATE AND SODIUM BENZOATE"
ROASTED GARLIC HUMMUS,Target Stores,"CHICKPEAS, WATER, SESAME TAHINI, GARLIC, CANOLA OLIVE OIL BLEND, PIMIENTOS, SALT, CITRIC ACID, CAPERS, SPICES, VINEGAR, POTASSIUM SORBATE AND SODIUM BENZOATE "
SPICY THREE PEPPER HUMMUS,Target Stores,"CHICKPEAS, WATER, SESAME TAHINI, CANOLA/OLIVE OIL BLEND, PIMIENTOS, POBLANO PEPPERS, LEMON JUICE CONCENTRATE, JALAPENO PEPPERS, RED PEPPERS, SALT, GARLIC, SPICES, POTASSIUM SORBATE AND SODIUM BENZOATE"
ROASTED RED PEPPER HUMMUS,Target Stores,"CHICKPEAS, ROASTED RED PEPPERS, SESAME TAHINI, CANOLA OLIVE OIL BLEND, SALT, CITRIC ACID, NATURAL FLAVOR, GARLIC, SPICES, ACACIA GUM, XANTHAN GUM, GUAR GUM, POTASSIUM SORBATE AND SODIUM BENZOATE"
ROASTED GARLIC HUMMUS,Target Stores,"CHICKPEAS, WATER, SESAME TAHINI, GARLIC, CANOLA OLIVE OIL BLEND, PIMIENTOS, SALT, CITRIC ACID, CAPERS, SPICES, VINEGAR, POTASSIUM SORBATE AND SODIUM BENZOATE"
ROASTED RED PEPPER HUMMUS,Target Stores,"CHICKPEAS, ROASTED RED PEPPERS, SESAME TAHINI, CANOLA OLIVE OIL BLEND, SALT, CITRIC ACID, NATURAL FLAVOR, GARLIC, SPICES, ACACIA GUM, XANTHAN GUM, GUAR GUM, POTASSIUM SORBATE AND SODIUM BENZOATE"
ORGANIC TRI-COLORED TORTILLA STRIPS,FRESH & EASY,"ORGANIC CORN MASA FLOUR, ORGANIC VEGETABLE OIL (SAFFLOWER / SUNFLOWER / CANOLA), ORGANIC CHILE POWDER, ORGANIC CHIPOTLE CHILI POWDER, SALT, ORGANIC TOMATO POWDER, ORGANIC CUMIN, ORGANIC GARLIC POWDER"
VANILLA BEAN ICE CREAM,FRESH & EASY,"MILK, SUGAR ,CORN SYRUP, CREAM, TAPIOCA STARCH, WHEY PROTEIN ISOLATE, MONO- AND DI-GLYCERIDES, GUAR GUM, TARA GUM, CELLULOSE GUM, XANTHAN GUM, CARRAGEENAN, DEXTROSE, NATURAL VANILLA FLAVOR, VANILLA BEAN, VITAMIN A PALMITATE"
LIGHT ICE CREAM,FRESH & EASY,"MILK, SUGAR, CREAM, CHOCOLATE CHUNKS (SUGAR / COCONUT OIL / COCOA / BUTTER OIL / SOY LECITHIN / VANILLA), CORN SYRUP, NATURAL PEPPERMINT EXTRACT, TAPIOCA STARCH, WHEY PROTEIN ISOLATE, MONO- AND DI-GLYCERIDES, GUAR GUM, TARA GUM, CELLULOSE GUM, XANTHAN GUM, CARRAGEENAN, DEXTROSE, VITAMIN A PALMITATE"
ICE CREAM,FRESH & EASY,"MILK, CREAM, SUGAR, CORN SYRUP, EGG CUSTARD BASE (EGG YOLK / MILK / CONDENSED MILK / SUGAR / INVERT SUGAR / BUTTER / FRUCTOSE / BROWN SUGAR / NATURAL FLAVOR / SALT / ANNATTO), EGG YOLKS, BOURBON VANILLA EXTRACT, GROUND VANILLA BEANS, CAROB GUM, GUAR GUM"
SORBET,FRESH & EASY,"WATER, STRAWBERRIES, SUGAR, PINEAPPLE, PECTIN, CITRIC ACID, ASCORBIC ACID, GUAR GUM, LOCUST BEAN GUM"
SORBET,FRESH & EASY,"WATER, SUGAR, LEMON JUICE, PINEAPPLE, GUAR GUM, LOCUST BEAN GUM, THYME"
BLOOD ORANGE SORBET,FRESH & EASY,"WATER, SUGAR, BLOOD ORANGE JUICE, PINEAPPLE, GUAR GUM, LOCUST BEAN GUM"
GELATO,FRESH & EASY,"WHOLE MILK, CREAM, SUGAR, BANANA PUREE, BROWN SUGAR, NONFAT MILK POWDER, BRANDY, CARRAGEENAN, MONO AND DI-GLYCERIDES, GUAR GUM, LOCUST BEAN GUM, SUCROSE, DEXTROSE, FRUCTOSE, BANANAS, NATURAL FLAVOR, TURMERIC EXTRACT, SOY LECITHIN"
"ICE CREAM, GELATO",FRESH & EASY,"WHOLE MILK, CREAM, SUGAR, GLUCOSE SYRUP, COCONUT FLOUR, WATER, NATURAL FLAVOR, CORN STARCH, SKIM MILK POWDER, CITRIC ACID, FUDGE (SUGAR / CANOLA OIL / COCOA / SKIM MILK POWDER / SOY LECITHIN), MONO- AND DI-GLYCERIDES, CARRAGEENAN, GUAR GUM, LOCUST BEAN GUM"
GELATO,FRESH & EASY,"WHOLE MILK, CREAM, SUGAR, SKIM MILK POWDER, COFFEE, VEGETABLE OIL, COCOA, NATURAL FLAVORS, MONO- AND DI-GLYCERIDES, CARRAGEENAN, GUAR GUM, SOY LECITHIN, LOCUST BEAN GUM"
GELATO,FRESH & EASY,"WHOLE MILK, SUGAR, CREAM, COCOA PROCESSED WITH ALKALI, SKIM MILK POWDER, COCOA LIQUOR, COCOA BUTTER, SOY LECITHIN, VANILLA EXTRACT, LOCUST BEAN GUM, GUAR GUM, CARRAGEENAN, MONO- AND DI-GLYCERIDES"
PANKO BREAD CRUMBS JAPANESE STYLE,FRESH & EASY,"WHEAT FLOUR, SUGAR, YEAST, SALT"
"FRESH AND EASY, CANOLA OIL",FRESH & EASY,CANOLA OIL
"FRESH AND EASY, CORN OIL",FRESH & EASY,CORN OIL
"FRESH AND EASY, TRI COLOR ROTINI",FRESH & EASY,"ORGANIC DURUM WHEAT SEMOLINA, DEHYDRATED SPINACH, DEHYDRATED TOMATO, NIACIN, FERROUS LACTATE (IRON), THIAMIN MONONITRATE, RIBOFLAVIN, FOLIC ACID"
"ENRICHED MACARONI PRODUCT, ITALIAN ORZO",FRESH & EASY,"ORGANIC SEMOLINA, NIACIN, FERROUS LACTATE (IRON), THIAMIN MONONITRATE, RIBOFLAVIN, FOLIC ACID"
CONCHIGLIE,FRESH & TASTY,"ORGANIC DURUM WHEAT SEMOLINA, NIACIN, FERROUS LACTATE (IRON), THIAMIN MONONITRATE, RIBOFLAVIN, FOLIC ACID"
EXCELLENT WITH MUSHROOM SAUCES,FRESH & EASY,"ORGANIC DURUM WHEAT SEMOLINA, NIACIN, FERROUS LACTATE (IRON), THIAMIN MONONITRATE, RIBOFLAVIN, FOLIC ACID"
MACARONI ELBOWS,FRESH & EASY,"DURUM WHEAT SEMOLINA, NIACIN, FERROUS SULFATE (IRON), THIAMIN MONONITRATE, RIBOFLAVIN, FOLIC ACID"
CUT FIDEO,FRESH & EASY,"DURUM SEMOLINA, NIACIN, FERROUS SULFATE (IRON), THIAMIN MONONITRATE, RIBOFLAVIN, FOLIC ACID"
THIN SPAGHETTI,FRESH & EASY,"DURUM WHEAT SEMOLINA, NIACIN, FERROUS SULFATE (IRON), THIAMIN MONONITRATE, RIBOFLAVIN, FOLIC ACID"
FETTUCCINE,FRESH & EASY,"DURUM WHEAT SEMOLINA, NIACIN, FERROUS SULFATE (IRON), THIAMIN MONONITRATE, RIBOFLAVIN, FOLIC ACID"
SPAGHETTI,FRESH & EASY,"DURUM WHEAT SEMOLINA, NIACIN, FERROUS SULFATE (IRON), THIAMIN MONONITRATE, RIBOFLAVIN, FOLIC ACID"
SPAGHETTI,FRESH & EASY,"DURUM WHEAT SEMOLINA, NIACIN, FERROUS SULFATE (IRON), THIAMIN MONONITRATE, RIBOFLAVIN, FOLIC ACID"
ROTELLI,FRESH & EASY,"DURUM WHEAT SEMOLINA, NIACIN, FERROUS SULFATE (IRON), THIAMIN MONONITRATE, RIBOFLAVIN, FOLIC ACID"
WHOLE GRAIN PASTA,FRESH & EASY,"WHOLE WHEAT FLOUR, DURUM WHEAT SEMOLINA, DURUM WHEAT FLOUR"
BROWN RICE SPAGHETTI,FRESH & EASY NEIGHBORHOOD MARKET INC.,"BROWN RICE FLOUR, MONOGLYCERIDES, DIGLYCERIDES"
WHOLE WHEAT SPAGHETTI,FRESH & EASY,WHOLE WHEAT DURUM FLOUR
"WHOLE WHEAT ELBOWS, MACARONI",FRESH & EASY,WHOLE WHEAT DURUM FLOUR
WHOLE WHEAT MACARONI PRODUCT,FRESH & EASY,WHOLE WHEAT DURUM FLOUR
"BROWN RICE, ROTINI",FRESH & EASY,"BROWN RICE FLOUR, MONOGLYCERIDES, DIGLYCERIDES"
LASAGNA,FRESH & EASY,"DURUM WHEAT SEMOLINA, NIACIN, FERROUS SULFATE (IRON), THIAMINE MONONITRATE, RIBOFLAVIN, FOLIC ACID"
WHOLE GRAIN THIN SPAGHETTI,FRESH & EASY,"WHOLE DURUM WHEAT FLOUR, ENRICHED SEMOLINA (SEMOLINA NIACIN  / FERROUS SULFATE / THIAMIN MONONITRATE / RIBOFLAVIN / FOLIC ACID), OAT FIBER"
MEDIUM SHELLS,FRESH & EASY,100% ORGANIC SEMOLINA
WHOLE GRAIN ROTINI,FRESH & EASY,"WHOLE DURUM WHEAT FLOUR, ENRICHED SEMOLINA (SEMOLINA / NIACIN / FERROUS SULFATE / THIAMIN MONONITRATE / RIBOFLAVIN / FOLIC ACID), OAT FIBER"
"PASTA, EXTRA BROAD RIBBONS",FRESH & EASY,"ENRICHED DURUM SEMOLINA (SEMOLINA / NIACIN / FERROUS SULFATE / THIAMIN MONONITRATE / RIBOFLAVIN / FOLIC ACID), CORN FLOUR, EGG WHITE"
WIDE EGG NOODLES,FRESH & EASY,"DURUM WHEAT SEMOLINA, DURUM WHEAT FLOUR, EGG YOLK POWDER, NIACIN, FERROUS SULFATE (IRON), THIAMIN MONONITRATE, RIBOFLAVIN, FOLIC ACID"
LARGE ELBOWS,FRESH & EASY,"SEMOLINA, NIACIN, FERROUS SULFATE (IRON), THIAMIN MONONITRATE, RIBOFLAVIN, FOLIC ACID"
THREE CHEESE BLEND,FRESH & EASY,"PASTEURIZED PART-SKIM COW'S MILK, SALT, CELLULOSE, CHEESE CULTURE, ENZYMES"
PARMESAN CHEESE,FRESH & EASY,"PARMESAN CHEESE (PASTEURIZED PART-SKIMMED COW'S MILK / SALT / CHEESE CULTURE / ENZYMES), CELLULOSE"
ALFREDO SAUCE,FRESH & EASY,"WATER, CREAM, PARMESAN CHEESE (MILK / CULTURE / SALT / ENZYME / CELLULOSE), MODIFIED CORNSTARCH, CANOLA OIL, MODIFIED EGG YOLK (EGG YOLK / SALT / PHOSPHOLIPASE), SALT, ROMANO CHEESE (MILK / CULTURE / SALT / ENZYME / CELLULOSE), BUTTER, CHEESE FLAVOR, SUGAR, XANTHAN GUM, ROASTED GARLIC PUREE, ONION POWDER, GARLIC POWDER, BLACK PEPPER, LACTIC ACID"
MARINARA SAUCE WITH ROASTED RED PEPPERS,FRESH & EASY,"ORGANIC TOMATO PUREE (WATER / TOMATO PASTE), ORGANIC DICED TOMATOES, ORGANIC ROASTED RED BELL PEPPERS, ORGANIC ROASTED RED PEPPER PUREE, ORGANIC ONIONS, ORGANIC ROASTED GARLIC PUREE, SALT, ORGANIC SOYBEAN OIL, ORGANIC SUGAR, ORGANIC BASIL, ORGANIC OREGANO, ORGANIC BLACK PEPPER, ORGANIC MARJORAM, ORGANIC ROSEMARY, ORGANIC THYME"
TOMATO BASIL MARINARA,FRESH & EASY,"TOMATO PUREE, DICED TOMATOES, BASIL, PURE OLIVE OIL, SALT, CHOPPED ONION, GARLIC POWDER, OREGANO, CHOPPED GARLIC"
PASTA SAUCE,FRESH & EASY,"TOMATO PUREE, DICED TOMATOES, ROASTED GARLIC PUREE, SALT, PURE OLIVE OIL, CHOPPED GARLIC, GARLIC POWDER, ROASTED GARLIC FLAVOR, BASIL, OREGANO"
PASTA SAUCE,FRESH & EASY,"TOMATO PUREE (WATER / TOMATO PASTE), TOMATOES, OLIVE OIL, CARROT PUREE, ONION PUREE, SALT, GARLIC, OREGANO, PARSLEY, BASIL"
PIZZA SAUCE,FRESH & EASY,"TOMATO PUREE, DICED TOMATOES, PURE OLIVE OIL, SALT, OREGANO, MINCED GARLIC, PARSLEY"
"DICED TOMATOES, WITH GARLIC AND OLIVE OIL",FRESH & EASY,"TOMATOES, TOMATO JUICE, SUGAR, SALT, DEHYDRATED GARLIC, OLIVE OIL, SPICES, CITRIC ACID, CALCIUM CHLORIDE"
DICED TOMATOES,FRESH & EASY ORGANIC,"ORGANIC TOMATOES, ORGANIC TOMATO JUICE, SEA SALT, CALCIUM CHLORIDE, CITRIC ACID"
DICED TOMATOES,FRESH & EASY,"TOMATOES, TOMATO, JUICE, CALCIUM CHLORIDE, CITRIC ACID"
STEWED TOMATOES,FRESH & EASY,"TOMATOES, TOMATO JUICE, SUGAR, SALT, DEHYDRATED ONIONS, DEHYDRATED CELERY, DEHYDRATED PEPPERS, SPICES, CALCIUM CHLORIDE, CITRIC ACID, NATURAL FLAVORINGS"
ITALIAN-STYLE STEWED TOMATOES,FRESH & EASY,"TOMATOES, TOMATO JUICE, SUGAR, SALT, DEHYDRATED ONIONS, SPICES, DEHYDRATED CELERY, DEHYDRATED PEPPERS, GARLIC, CALCIUM CHLORIDE, CITRIC ACID, NATURAL FLAVORS"
"FRESH AND EASY, PROVENCAL SIMMER SAUCE",FRESH & EASY,"TOMATO PUREE, TOMATOES, WHITE CHABLIS WINE, GREEN OLIVES (GREEN OLIVES / WATER / SALT / LACTIC ACID), ONIONS, CHICKEN BROTH (CHICKEN BREAST / SALT / YEAST EXTRACT / NATURAL FLAVOR / POTATO FLOUR / SUGAR / TURMERIC), BLACK OLIVES (BLACK OLIVES / WATER / SALT / FERROUS GLUCONATE), OLIVE OIL, GARLIC PUREE (GARLIC / WATER / CITRIC ACID), CORN STARCH, BASIL, THYME, ANCHOVY PASTE (ANCHOVY / SALT / OLIVE OIL / ACETIC ACID)"
"FRESH AND EASY, CACCIATORE SIMMER SAUCE",FRESH & EASY,"TOMATO PUREE, TOMATOES, WHITE MUSHROOMS, ONIONS, GREEN BELL PEPPERS, WHITE CHABLIS WINE, SALT, SUGAR, CORN STARCH, OLIVE OIL, GARLIC, THYME, BASIL, OREGANO, BLACK PEPPER, CITRIC ACID"
"FRESH AND EASY, CREAMY TOMATO ALFREDO SAUCE",FRESH & EASY,"WATER, CREAM (CREAM / MILK / DEXTROSE / CARRAGEENAN), CRUSHED TOMATOES, TOMATOES, MODIFIED CORNSTARCH, BUTTER, SUGAR, GARLIC, SALT, ROMANO CHEESE (MILK / CULTURE / SALT / ENZYME / CELLULOSE), BASIL, PARSLEY, LEMON JUICE CONCENTRATE, DEHYDRATED GARLIC, BLACK PEPPER, CITRIC ACID"
"FRESH AND EASY, PASTA SAUCE WITH IMPORTED TOMATOES AND OLIVE OIL",FRESH & EASY,"PLUM TOMATOES, TOMATO PASTE, OLIVE OIL, GARLIC, PARSLEY, BASIL, SALT, ONIONS, CRUSHED RED PEPPERS, WHITE PEPPER, OREGANO"
"FRESH AND EASY, PASTA SAUCE WITH IMPORTED ITALIAN TOMATOES AND OLIVE OIL",FRESH & EASY,"PLUM TOMATOES, TOMATO PASTE, OLIVE OIL, BLACK OLIVES (BLACK OLIVES / WATER / SALT / FERROUS GLUCONATE), CAPERS (CAPERS / DISTILLED VINEGAR / SALT / WATER), KALAMATA OLIVES (KALAMATA OLIVES / WATER / SALT / RED WINE VINEGAR / EXTRA VIRGIN OLIVE OIL), GARLIC, ANCHOVY PASTE (ANCHOVIES / SALT / OLIVE OIL / ACETIC ACID), PARSLEY, BASIL, ONIONS, WHITE PEPPER, CRUSHED RED PEPPERS, OREGANO"
